code;client_id;client;title;block;period;role;assignee;start;internal_due;legal_due;crit;effort_min;checklist;basis;tariff
HR-10;CL-008;ИП Новиков С.С.;Приём табеля учёта рабочего времени и данных по отсутствиям;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;20;checklists/payroll.md;ТК РФ ст. 91;Стандарт
PAY-20;CL-008;ИП Новиков С.С.;Расчёт заработной платы за сентябрь 2026;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;90;checklists/payroll.md;ТК РФ ст. 136;Стандарт
PAY-30;CL-008;ИП Новиков С.С.;Расчётные листки и реестр на выплату;Зарплата и кадры;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;;A;30;checklists/payroll.md;ТК РФ ст. 136;Стандарт
TAX-NDFL-N2;CL-008;ИП Новиков С.С.;Уведомление по НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;30;checklists/ndfl.md;НК РФ ст. 58 п. 9;Стандарт
TAX-NDFL-P2;CL-008;ИП Новиков С.С.;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-01;2026-10-02;2026-10-05;A;15;checklists/ndfl.md;НК РФ ст. 226 п. 6;Стандарт
TAX-SFR-P;CL-008;ИП Новиков С.С.;Уплата взносов на травматизм в СФР за сентябрь 2026;Налоги;сентябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-09;2026-10-14;2026-10-15;A;15;;ФЗ-125 ст. 22;Стандарт
PAY-10;CL-008;ИП Новиков С.С.;Расчёт и согласование аванса за первую половину месяца;Зарплата и кадры;октябрь 2026;PAYROLL;Волкова Н.Ю.;2026-10-13;2026-10-16;;A;60;checklists/payroll.md;ТК РФ ст. 136;Стандарт
REP-6NDFL;CL-008;ИП Новиков С.С.;6-НДФЛ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 230;Стандарт
REP-RSV;CL-008;ИП Новиков С.С.;РСВ за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-14;2026-10-19;2026-10-26;A;90;checklists/reporting.md;НК РФ ст. 431;Стандарт
REP-EFS2;CL-008;ИП Новиков С.С.;ЕФС-1 раздел 2 (взносы на травматизм) за 9 месяцев 2026;Отчётность;9 месяцев 2026;PAYROLL;Волкова Н.Ю.;2026-10-16;2026-10-21;2026-10-26;A;45;checklists/reporting.md;ФЗ-125 ст. 24;Стандарт
